N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.8502972218852359,0.8267462493278044,0.8208364533452549,0.3383054892601432,0.7748840904923338,0.45048702596502926
Model2,500,2,1,0.8445954142909134,0.8159132076914467,0.814941992434931,0.31026252983293556,0.7265482788252902,0.42227294024822787
Model3,500,3,1,0.8376804561446075,0.8121611456044268,0.8216811815532334,0.3943914081145585,0.6760236909701118,0.4859714352446978
Model4,500,1,2,0.8765012738080796,0.8664511514004538,0.8587716718127308,0.4701670644391408,0.8407721427282103,0.5802998698665429
Model5,500,2,2,0.893606696591047,0.893407597553429,0.8925895767811977,0.6455847255369929,0.8455846143492954,0.7311138136169705
Model6,500,3,2,0.8695863156617736,0.9013997761199466,0.8775496322109939,0.6652744630071599,0.8003147410439557,0.7017475448232123
Model7,800,1,2,0.8755307533664928,0.8653776257935988,0.8651183105788544,0.5005966587112172,0.804687626987363,0.6108156062293261
Model8,800,2,2,0.8505398519956326,0.8874969129930742,0.8588176250366517,0.6187350835322196,0.8355434210948833,0.6839076321935216
Model9,800,3,2,0.8965182579158073,0.9038412350846767,0.8940079392862035,0.6795942720763724,0.8414235863616836,0.7285455336925516
