N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,800,3,2,0.8210602935824336,0.8555455297339806,0.8310719748762418,0.5936754176610979,0.757799370700455,0.6331008551872411
Model2,800,3,2,0.8556350843139634,0.8631212224393925,0.854824789596232,0.5781622911694511,0.7503559496688765,0.6230311031892691
Model3,800,3,2,0.8250636904039791,0.8253792890725147,0.8197422361314903,0.5035799522673031,0.579180869492354,0.49809253714863616
Model4,800,3,2,0.8657042338954264,0.8812159494931258,0.867821111530812,0.6760143198090692,0.8121543135470383,0.7153442022351819
Model5,800,3,2,0.8900885599902948,0.9051630009878915,0.8947037972042583,0.7619331742243437,0.870886365638391,0.8068039628422765
Model6,800,3,2,0.9094989688220309,0.9165924400696206,0.9117443700231835,0.7714797136038186,0.8892172518970994,0.8234444835192437
Model7,800,3,2,0.8716486716001456,0.8877562585854054,0.8756154351202361,0.6986873508353222,0.8324223700018426,0.7468340605853514
Model8,800,3,2,0.9093776537668324,0.9132386840672125,0.9097191822691285,0.7720763723150358,0.8901289245636331,0.8190970189233048
Model9,800,3,2,0.9170205022443285,0.9218850438591084,0.9181819496446141,0.7834128878281623,0.9023309978494212,0.835293273525967
